,num_custumers,grid_size,num_drones,battery_endurance,cost_ratio,cost_savings
241,95,33,15,0.7715973765337905,43.893086300495,11.098486171415528
242,31,26,8,0.2726086954121705,18.537463078693065,0.6984524133998933
243,76,24,6,0.35895249608713714,10.485604235525642,5.8713000907763995
244,48,22,8,0.9373726947091785,31.473899921465353,12.1422627127931
245,92,33,12,0.3390391809309217,23.02334379171733,5.281774990841743
246,76,24,5,0.47271509661300404,21.874633225406996,-2.458740991195613
247,87,36,17,0.44887973969027695,48.61212630647999,-2.7924419493090262
248,39,34,19,0.8670746078457963,11.129318037216915,11.74916885506005
249,89,33,19,0.9120617914468612,29.75238601453018,23.40957833831646
250,28,20,16,0.4755520909465575,30.527130977745657,13.503045545771984
251,87,23,12,0.6939631112242872,48.85495485596287,24.463247736150656
252,33,39,1,0.8361749890702386,11.61071306531289,22.077262324814484
253,83,21,17,0.3821856546764612,34.524715066704445,2.6388678275760267
254,78,35,1,0.7916438833705215,25.46223194539188,11.124435996594615
255,18,23,9,0.9642199455222173,21.42878149171722,31.113015089259015
256,36,34,7,0.9191033228980692,31.32095932092966,12.024149890493433
257,62,31,19,0.5011895748839663,27.837067846439773,6.049083492883335
258,92,30,1,0.4164212368534523,46.08556844064858,-3.4196196695047743
259,61,39,11,0.7252193014579025,26.631206473101116,-0.3537515823350235
260,14,25,17,0.9407254453839169,28.284533343796166,32.49588678147999
261,44,34,10,0.33549922673364746,23.3407515671775,1.5677529034436695
262,86,25,11,0.40829704969202285,23.71798545466988,5.977326490204139
263,33,33,3,0.9068135038858902,11.814484626180057,5.841256941991758
264,85,40,3,0.5538594138874556,37.92052674393408,1.8789071786220064
265,46,26,5,0.3589546988474922,24.228520919231453,5.105256867226519
266,83,36,10,0.34894579312577856,25.944227175958297,4.059231310815993
267,42,34,19,0.5900681379691703,16.05397409290458,9.601038441905246
268,26,31,16,0.6589577106267378,19.511032497389046,1.953933693013939
269,87,36,1,0.5396064194118646,14.686876061081504,3.6176065514741267
270,90,29,17,0.4524132888111302,18.908618443129747,8.435893114210629
271,22,22,18,0.6358524659592388,14.199163815569179,9.167802804737958
272,64,31,7,0.26661832838705524,35.700151066769315,11.49289265927539
273,90,25,7,0.5176541502559207,42.35063154476534,13.113619785629279
274,17,25,12,0.8666305459356125,40.66231179069101,43.6664299727884
275,83,22,3,0.5874194510575361,14.618783026388371,18.969055351827475
276,45,26,13,0.9938313178785703,48.12978077135828,29.221989582872045
277,49,31,11,0.4269538808912843,47.435669458385135,4.5473865001021485
278,12,32,8,0.8172912021322836,27.58664350176791,1.0313235579848274
279,90,20,2,0.29508295594023165,34.12273520702753,10.845018655311309
280,96,39,10,0.9408613185379795,47.28975358354498,8.06059316594908
281,80,25,4,0.5930871829493276,11.611226644483503,11.160857678576711
282,15,26,8,0.7278724191765638,35.755323105602486,5.402017961413405
283,17,33,3,0.7973009062538737,26.324181416665432,16.5371711609999
284,47,33,10,0.5961800325321476,22.260828531940202,12.888161908185428
285,30,24,1,0.907797093111232,40.61132286551599,34.95448244174791
286,87,26,15,0.8864359979687338,12.631615969546424,14.874181731900062
287,18,20,14,0.562255134828306,36.179880239240134,20.153103818722396
288,85,39,11,0.3190664676340446,22.890703553181275,-0.4811141662677455
289,59,32,15,0.8067093521570886,19.56581769002103,13.158000481656863
290,74,40,2,0.7785543361108548,33.7696217939237,26.67521358061227
291,19,34,2,0.6877247641378363,36.86054076043202,8.93109577157693
292,24,21,5,0.5172128934739276,45.15424047388048,8.607358051457906
293,72,28,4,0.7303006350052054,10.5321919575734,3.5781554205933386
294,44,38,9,0.7078574994279696,38.305223371113584,17.13525809101322
295,76,35,19,0.6802436764756852,11.919495197471628,10.93619922564705
296,56,30,6,0.6645806259734562,11.575662770209352,4.269367553541826
297,46,28,18,0.3172887482628371,26.944880513507275,2.9623596107257426
298,17,27,15,0.6697684295593727,26.84622260526602,23.77028255131435
299,14,20,16,0.8003228772846855,15.610699282590229,29.036812893205123
